"","Met6474","Met6479","Met6484","Met6490","Met6495","Met6500","Met6506","Met6511","Met6516","Met6522","Met6527","Met7077","Met7082","Met7087","Met7093","Met7098","Met8116","Met8121","Genus"
"55193",1117989,4792356,3967525,5267686,590,389635,523466,1015716,1222367,4245,9510,78270,1304386,1997387,46266,1083471,25790,11228757,"Malassezia"
"1982251",30,734,278,61,91,1336,1799,417,118,0,440,1583,5617,40,57,186,84,915,"Pahexavirus"
"2843445",47,0,0,1257,0,45,0,0,0,0,0,0,0,0,0,0,0,0,"Rockefellervirus"
"2742598",0,0,33,20,27,85,878,10,0,39,149,59,57,29,39,2122,54,20,"Limosilactobacillus"
"117563",0,184,96,112,235,146,2051,234,162,39,1213,6710,2537,125,42,18,310,1145,"Granulicatella"
"46123",0,56,66,85,76,13,5020,94,324,0,0,2110,1452,0,0,10,98,1148,"Abiotrophia"
"162289",0,402,0,358,1470,226,12621,157,36,770,351,532,347,47,43,101,450,322,"Peptoniphilus"
"1766253",0,21,0,90,0,13,357,0,0,12,0,583,115,0,30,31,24,48,"Agathobacter"
"86331",0,10,0,22,27,10,256,79,29,0,109,556,165,192,94,10,23,7475,"Mogibacterium"
"216851",0,0,0,62,0,123,4444,47,0,210,0,517,21,0,29,57,18,94,"Faecalibacterium"
"1827",0,102,0,35,132,193,12876,17,71,49,781,1526,118,28,379,32,0,12,"Rhodococcus"
"36739",0,192,0,137,107,247,302,20,0,177,99,178,552,0,12,0,192,44,"Dermabacter"
"2701",0,1270,0,0,106,79,194896,654,0,1077,46,1212,94,0,0,82,36,0,"Gardnerella"
"2692118",0,0,21,39,1484,26,2080,0,0,396,190,41,98,0,171,15,545,349,"Winkia"
"184869",0,27,0,15,164,21,1592,0,0,124,11,48,158,0,0,0,235,54,"Varibaculum"
"497",0,200,0,277,85,74,6882,23,22,0,16,1173,553,0,69,127,0,0,"Psychrobacter"
"1330546",0,970552,0,0,0,0,16204,0,0,0,0,34,0,0,95,47,0,0,"Pluralibacter"
"416916",0,27,0,12,49,0,268,26,32,0,255,717,381,101,0,0,61,898,"Aggregatibacter"
"262",0,289,1888,268,22,1371,158,0,515,2703,10,568,5513,4916,25,84,0,53,"Francisella"
"283",0,172,0,47,118,90,1602,360,11,107,14,567,55,25,71,24,67,42,"Comamonas"
"12916",0,74,0,39,186,73,1031,291,29,0,34,153,126,27,1119,16,0,18,"Acidovorax"
"47670",0,346,3829,65,29,137,428,27,105,12,3963,1130,221,358,0,43,31,1552,"Lautropia"
"2974257",0,58,0,116,88,53,24966,56,29,651,37,664,111,159,20,41,133,4138,"Hoylesella"
"816",0,68,0,27,156,65,6046,61,0,1215,317,898,69,22,121,26,72,306,"Bacteroides"
"28453",0,37,0,78,35,18,1221,12,0,19,105,535,43,0,78,0,0,11,"Sphingobacterium"
"32067",0,55,11,67,182,14,386,131,127,0,389,727,2210,200,23,170,36,1953,"Leptotrichia"
"2050",0,0,0,0,15,20,19587,0,13,0,0,14,27,0,0,14,0,86,"Mobiluncus"
"2767327",0,1278,0,0,0,0,149310,157,0,1524,0,1105,0,0,0,71,0,0,"Fannyhessea"
"2767353",0,13,0,17,11,11,103,58,18,0,125,435,1018,139,30,73,20,1196,"Lancefieldella"
"133925",0,24,0,0,89,0,50,0,37,0,35,150,0,1001,0,92,12,119,"Olsenella"
"1243",0,214,0,900,81,17,1050,11,0,32,22,2896,83,21,548,17,11,0,"Leuconostoc"
"2759736",0,19,0,39,0,0,126,0,0,0,79,52,0,0,0,2132,0,0,"Lacticaseibacillus"
"1350",0,102,0,27,68,21,1304,24,66,55,64,218,92,0,76,0,492,64,"Enterococcus"
"572511",0,64,0,59,85,72,2061,20,0,443,441,447,34,0,48,34,17,207,"Blautia"
"1164882",0,10,0,18,16,13,227,14,0,0,79,225,93,87,16,30,14,1251,"Lachnoanaerobaculum"
"543311",0,50,15,0,58,0,215,0,18,12,39,656,564,268,18,11,50,556,"Parvimonas"
"39948",0,50,0,25,90,26,1055,34,30,52,33,237,2333,247,0,30,61,4725,"Dialister"
"970",0,22,0,11,208,0,124,34,32,0,62,229,249,331,0,66,24,4592,"Selenomonas"
"2895509",0,0,0,0,0,0,0,0,0,0,0,0,241,11,0,0,0,0,"Metamycoplasma"
"745",0,45,0,0,22,49,458,0,0,44,230,33,133,0,57,0,432,30,"Pasteurella"
"544",0,918,0,0,10,0,394,271,31,10,54,753,330,0,35,14,418,17,"Citrobacter"
"561",0,6657,0,0,100,0,1510,214,0,4022,199,13496,633,0,129,404,144,0,"Escherichia"
"613",0,605,0,0,35,14,348,18,184,26,18,235,22,0,82,0,201,0,"Serratia"
"642",0,444,16,32,122,93,2417,65,23,41,74,1625,633,33,454,66,94,25,"Aeromonas"
"53246",0,0,0,0,0,0,742,0,0,0,0,54,24,0,1554,14,0,0,"Pseudoalteromonas"
"662",0,16,0,28,0,12,477,10,0,0,0,25,81,12,3235,0,0,22,"Vibrio"
"366614",0,15,0,0,0,81,500,0,0,0,0,2804,0,0,32,105,0,0,"Haematobacter"
"32008",0,60,0,37,59,605,2327,142,14,64,26,109,137,0,669,9259,72,30,"Burkholderia"
"909656",0,15,0,34,72,54,3818,24,0,305,537,428,25,0,124,0,14,186,"Phocaeicola"
"195950",0,51,0,13,71,0,511,33,0,11,153,412,949,282,0,29,41,1617,"Tannerella"
"1016",0,223,103,57,186,141,1640,135,79,67,1338,1320,3228,548,76,298,246,4845,"Capnocytophaga"
"2782229",0,411,0,115,12,36,611,0,0,0,0,262,81,0,66,23,0,0,"Epilithonimonas"
"194",0,113,0,27,189,53,738,59,67,86,144,470,541,205,48,22,172,890,"Campylobacter"
"2093823",0,24,0,38,19,34,309,89,34,0,185,955,654,119,69,0,72,590,"Candidatus Nanosynbacter"
"157",0,74,0,0,107,0,99,0,13,0,235,961,530,607,0,23,17,3599,"Treponema"
"104267",0,0,0,0,0,0,15,0,0,0,0,0,0,0,1131,0,0,0,"Tenacibaculum"
"1335483",0,6303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shimwellia"
"226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13484,0,0,0,"Alteromonas"
"444051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,0,0,0,"Mesoflavibacter"
